等级,职业功能,工作内容,技能要求,课程内容,课堂学时,表现方法,时长（秒）
,,8.2 焊接操作,8.2.1 焊接参数选择,（11）焊接参数确认与调节,,PPT＋讲解,240
,,,8.2.2 焊接过程操作,（12）手工钨极氩弧焊安全操作规程,,,
,,,,"（13）焊接
①打底层的焊接
②盖面层的焊接",,,
,,,,"（14）手工钨极氩弧焊基本操作要领
①焊接姿势
②手工钨极氩弧焊引弧
③手工钨极氩弧焊送丝
④手工钨极氩弧焊焊接
⑤手工钨极氩弧焊收弧",,PPT＋讲解,300
,,,8.2.3 背面清根处理,"（15）双面焊根部焊道背面清根
①清根目的
②清根工机具
③清根工艺",,,
,,8.3 焊后检查,8.3.1 接头表面清理,"（16）焊后清理
①清理要求
②清理内容",,操作＋讲解,480
,,,8.3.2 焊后质量自检,"（17）焊接外观质量检查
①检查项目
②检查工机具
③检查方法",,PPT＋讲解,120
,,,,,,操作+讲解,120
,"9.低碳钢或低合金钢管对接水平转动手工钨极氩弧焊
",9.1 焊前准备,9.1.1 安全检查,（1）手工钨极氩弧焊常用工机具,,操作+讲解,240
,,,,"（2）手工钨极氩弧焊常用夹具
①拉紧器     
②管口钳",,,
,,,,"（3）手工钨极氩弧焊设备工机具安全检查
①焊机安全检查
②供气系统安全检查
③冷却系统安全检查
④角磨机、直磨机安全检查
⑤夹具安全检查",,,
,,,,"（4）劳动保护用品检查
①面罩和护目镜
②工作服和工作鞋
③耳塞等",,,
,,,,"（5）工作环境安全检查
①高空安全防护
②通风和消防",,,
,,,,,,,180
,,,9.1.2 坡口准备及定位,"（6）材料准备
①焊接材料准备
②焊件准备",,,240
,,,,"（7）焊前清理
①清理范围
②清理方法",,,120
,,,,（8）坡口准备                                                                                                                                                                            ①坡口形式及坡口尺寸                                      ②坡口备制                                            ③坡口清理,,,
,,,,,,操作+PPT+讲解,
,,,,（9）工件组对和定位焊,,,60
,,9.2 焊接操作,9.2.1 焊接参数选择,（10）焊接参数确认与调节,,,300
,,,9.2.2 焊接过程操作,（11）手工钨极氩弧焊安全操作规程,,,120
,,,,"（12）焊接
①打底层的焊接
②盖面层的焊接",,,60
,,,,"（13）手工钨极氩弧焊基本操作要领
①焊接姿势
②手工钨极氩弧焊引弧
③手工钨极氩弧焊送丝
④手工钨极氩弧焊焊接
⑤手工钨极氩弧焊收弧",,PPT＋讲解,240
